id,first_name,last_name,email,gender,id,stock_code,product_category,unit_price,quantity,customer_id
102,Penelopa,Barnsdall,pbarnsdall2t@msu.edu,F,1643,69JXQSCX,Outdoors,64.36,78,102
102,Penelopa,Barnsdall,pbarnsdall2t@msu.edu,F,643,69JXQSCX,Outdoors,64.36,78,102
102,Penelopa,Barnsdall,pbarnsdall2t@msu.edu,F,2643,69JXQSCX,Outdoors,64.36,78,102
110,Georges,Sinfield,gsinfield31@about.me,M,1685,EQFYIBDS,Outdoors,96.58,65,110
110,Georges,Sinfield,gsinfield31@about.me,M,2685,EQFYIBDS,Outdoors,96.58,65,110
110,Georges,Sinfield,gsinfield31@about.me,M,685,EQFYIBDS,Outdoors,96.58,65,110
117,Clarisse,Parell,cparell38@newyorker.com,F,191,T6V4M26A,Outdoors,8.79,13,117
117,Clarisse,Parell,cparell38@newyorker.com,F,1191,T6V4M26A,Outdoors,8.79,13,117
117,Clarisse,Parell,cparell38@newyorker.com,F,2191,T6V4M26A,Outdoors,8.79,13,117
124,Jedidiah,Duinkerk,jduinkerk3f@bing.com,M,2990,YGIGZR3B,Outdoors,126.61,18,124
124,Jedidiah,Duinkerk,jduinkerk3f@bing.com,M,1990,YGIGZR3B,Outdoors,126.61,18,124
124,Jedidiah,Duinkerk,jduinkerk3f@bing.com,M,990,YGIGZR3B,Outdoors,126.61,18,124
125,Carree,MacAiline,cmacailine3g@telegraph.co.uk,F,473,PVLBU7L0,Outdoors,100.74,7,125
125,Carree,MacAiline,cmacailine3g@telegraph.co.uk,F,2473,PVLBU7L0,Outdoors,100.74,7,125
125,Carree,MacAiline,cmacailine3g@telegraph.co.uk,F,1473,PVLBU7L0,Outdoors,100.74,7,125
127,Randie,Litzmann,rlitzmann3i@usatoday.com,F,252,MOASEGOY,Outdoors,118.91,49,127
127,Randie,Litzmann,rlitzmann3i@usatoday.com,F,320,5GG7GS1X,Outdoors,10.99,55,127
127,Randie,Litzmann,rlitzmann3i@usatoday.com,F,1252,MOASEGOY,Outdoors,118.91,49,127
127,Randie,Litzmann,rlitzmann3i@usatoday.com,F,2320,5GG7GS1X,Outdoors,10.99,55,127
127,Randie,Litzmann,rlitzmann3i@usatoday.com,F,1320,5GG7GS1X,Outdoors,10.99,55,127
127,Randie,Litzmann,rlitzmann3i@usatoday.com,F,2252,MOASEGOY,Outdoors,118.91,49,127
130,Honor,Sekulla,hsekulla3l@vistaprint.com,F,1371,DHEJCTKB,Outdoors,108.01,47,130
130,Honor,Sekulla,hsekulla3l@vistaprint.com,F,371,DHEJCTKB,Outdoors,108.01,47,130
130,Honor,Sekulla,hsekulla3l@vistaprint.com,F,2371,DHEJCTKB,Outdoors,108.01,47,130
131,Dwayne,Baumber,dbaumber3m@scribd.com,M,45,TKSC0BBW,Outdoors,33.19,22,131
131,Dwayne,Baumber,dbaumber3m@scribd.com,M,1045,TKSC0BBW,Outdoors,33.19,22,131
131,Dwayne,Baumber,dbaumber3m@scribd.com,M,2045,TKSC0BBW,Outdoors,33.19,22,131
134,Maryann,Mildenhall,mmildenhall3p@washington.edu,F,2033,NUEFXLU0,Outdoors,121.92,66,134
134,Maryann,Mildenhall,mmildenhall3p@washington.edu,F,33,NUEFXLU0,Outdoors,121.92,66,134
134,Maryann,Mildenhall,mmildenhall3p@washington.edu,F,1033,NUEFXLU0,Outdoors,121.92,66,134
138,Arabelle,Yoskowitz,ayoskowitz3t@nps.gov,F,1134,J6D8G0S0,Outdoors,139.36,2,138
138,Arabelle,Yoskowitz,ayoskowitz3t@nps.gov,F,134,J6D8G0S0,Outdoors,139.36,2,138
138,Arabelle,Yoskowitz,ayoskowitz3t@nps.gov,F,2134,J6D8G0S0,Outdoors,139.36,2,138
144,Adria,Miners,aminers3z@comsenz.com,F,352,2UDE4PD0,Outdoors,111.51,88,144
144,Adria,Miners,aminers3z@comsenz.com,F,1352,2UDE4PD0,Outdoors,111.51,88,144
144,Adria,Miners,aminers3z@comsenz.com,F,2352,2UDE4PD0,Outdoors,111.51,88,144
145,Kristoforo,Alti,kalti40@biblegateway.com,M,1056,ZSISJ09R,Outdoors,68.67,79,145
145,Kristoforo,Alti,kalti40@biblegateway.com,M,2056,ZSISJ09R,Outdoors,68.67,79,145
145,Kristoforo,Alti,kalti40@biblegateway.com,M,56,ZSISJ09R,Outdoors,68.67,79,145
148,Aubrie,Rubinovitch,arubinovitch43@utexas.edu,F,1119,8KVE7KHD,Outdoors,60.28,5,148
148,Aubrie,Rubinovitch,arubinovitch43@utexas.edu,F,2119,8KVE7KHD,Outdoors,60.28,5,148
148,Aubrie,Rubinovitch,arubinovitch43@utexas.edu,F,119,8KVE7KHD,Outdoors,60.28,5,148
149,Falito,Volonte,fvolonte44@google.co.jp,M,469,B2ML7ZJ6,Outdoors,12.80,81,149
149,Falito,Volonte,fvolonte44@google.co.jp,M,2469,B2ML7ZJ6,Outdoors,12.80,81,149
149,Falito,Volonte,fvolonte44@google.co.jp,M,1469,B2ML7ZJ6,Outdoors,12.80,81,149
150,Barthel,Isaak,bisaak45@freewebs.com,M,939,DKMUBBT2,Outdoors,105.65,50,150
150,Barthel,Isaak,bisaak45@freewebs.com,M,1939,DKMUBBT2,Outdoors,105.65,50,150
150,Barthel,Isaak,bisaak45@freewebs.com,M,2939,DKMUBBT2,Outdoors,105.65,50,150
153,Ferrell,Barrowcliff,fbarrowcliff48@vimeo.com,M,2278,94R91HTP,Outdoors,100.50,96,153
153,Ferrell,Barrowcliff,fbarrowcliff48@vimeo.com,M,1278,94R91HTP,Outdoors,100.50,96,153
153,Ferrell,Barrowcliff,fbarrowcliff48@vimeo.com,M,278,94R91HTP,Outdoors,100.50,96,153
166,Heddi,Condliffe,hcondliffe4l@house.gov,F,1434,DEKNI32X,Outdoors,145.27,81,166
166,Heddi,Condliffe,hcondliffe4l@house.gov,F,434,DEKNI32X,Outdoors,145.27,81,166
166,Heddi,Condliffe,hcondliffe4l@house.gov,F,2434,DEKNI32X,Outdoors,145.27,81,166
168,Hort,Arnold,harnold4n@google.co.uk,M,1544,49H2JCJD,Outdoors,110.28,3,168
168,Hort,Arnold,harnold4n@google.co.uk,M,544,49H2JCJD,Outdoors,110.28,3,168
168,Hort,Arnold,harnold4n@google.co.uk,M,2544,49H2JCJD,Outdoors,110.28,3,168
179,Annalee,Spriddle,aspriddle4y@ox.ac.uk,F,1667,RBS11O8R,Outdoors,38.36,95,179
179,Annalee,Spriddle,aspriddle4y@ox.ac.uk,F,667,RBS11O8R,Outdoors,38.36,95,179
179,Annalee,Spriddle,aspriddle4y@ox.ac.uk,F,2667,RBS11O8R,Outdoors,38.36,95,179
188,Nadiya,Eldredge,neldredge57@bloomberg.com,F,566,OITO4QQB,Outdoors,51.10,54,188
188,Nadiya,Eldredge,neldredge57@bloomberg.com,F,2566,OITO4QQB,Outdoors,51.10,54,188
188,Nadiya,Eldredge,neldredge57@bloomberg.com,F,1566,OITO4QQB,Outdoors,51.10,54,188
189,Loraine,Mityushin,lmityushin58@scribd.com,F,99,JOPDXAQT,Outdoors,146.04,57,189
189,Loraine,Mityushin,lmityushin58@scribd.com,F,1099,JOPDXAQT,Outdoors,146.04,57,189
189,Loraine,Mityushin,lmityushin58@scribd.com,F,2099,JOPDXAQT,Outdoors,146.04,57,189
194,Romy,Johnsson,rjohnsson5d@guardian.co.uk,F,1283,SCE4DO5Y,Outdoors,58.99,68,194
194,Romy,Johnsson,rjohnsson5d@guardian.co.uk,F,283,SCE4DO5Y,Outdoors,58.99,68,194
194,Romy,Johnsson,rjohnsson5d@guardian.co.uk,F,2283,SCE4DO5Y,Outdoors,58.99,68,194
212,Regina,Feathersby,rfeathersby5v@is.gd,F,2262,C6WW7MGP,Outdoors,94.38,79,212
212,Regina,Feathersby,rfeathersby5v@is.gd,F,1262,C6WW7MGP,Outdoors,94.38,79,212
212,Regina,Feathersby,rfeathersby5v@is.gd,F,262,C6WW7MGP,Outdoors,94.38,79,212
214,Barbey,Thorns,bthorns5x@amazon.com,F,681,9SHY3PDY,Outdoors,51.53,63,214
214,Barbey,Thorns,bthorns5x@amazon.com,F,2681,9SHY3PDY,Outdoors,51.53,63,214
214,Barbey,Thorns,bthorns5x@amazon.com,F,1681,9SHY3PDY,Outdoors,51.53,63,214
222,Kylie,Allen,kallen65@sourceforge.net,M,2290,GJCH9FKZ,Outdoors,42.08,65,222
222,Kylie,Allen,kallen65@sourceforge.net,M,1290,GJCH9FKZ,Outdoors,42.08,65,222
222,Kylie,Allen,kallen65@sourceforge.net,M,290,GJCH9FKZ,Outdoors,42.08,65,222
225,Diena,Patriche,dpatriche68@alibaba.com,F,389,BO0UIGN4,Outdoors,91.52,24,225
225,Diena,Patriche,dpatriche68@alibaba.com,F,1389,BO0UIGN4,Outdoors,91.52,24,225
225,Diena,Patriche,dpatriche68@alibaba.com,F,2389,BO0UIGN4,Outdoors,91.52,24,225
244,Colby,Pinnijar,cpinnijar6r@facebook.com,M,2692,DMPW09BQ,Outdoors,143.67,52,244
244,Colby,Pinnijar,cpinnijar6r@facebook.com,M,692,DMPW09BQ,Outdoors,143.67,52,244
244,Colby,Pinnijar,cpinnijar6r@facebook.com,M,1692,DMPW09BQ,Outdoors,143.67,52,244
